64378;1e Glanshof;1;15;;;1103SJ;T;T94;T94i
64378;1e Glanshof;;;2;12;1103SJ;T;T94;T94i
62340;1e Kekerstraat;3;169;;;1104VA;T;T94;T94h
62340;1e Kekerstraat;;;2;60;1104VA;T;T94;T94h
64343;2e Glanshof;1;11;;;1103SL;T;T94;T94i
64343;2e Glanshof;;;2;18;1103SL;T;T94;T94i
62359;2e Kekerstraat;1;57;;;1104VB;T;T94;T94h
62359;2e Kekerstraat;;;2;70;1104VB;T;T94;T94h
62367;3e Kekerstraat;1;71;;;1104VC;T;T94;T94h
62367;3e Kekerstraat;;;2;150;1104VC;T;T94;T94h
64998;A. Moenstraat;3;53;;;1022KH;N;N74;N74c
64998;A. Moenstraat;;;4;46;1022KH;N;N74;N74c
58165;A. Reitsmakade;1;27;;;1060RJ;F;F84;F84c
58165;A. Reitsmakade;35;37;;;1060SZ;F;F84;F84c
58165;A. Reitsmakade;;;2;26;1060RJ;F;F84;F84c
58165;A. Reitsmakade;;;28;44;1060SZ;F;F84;F84c
57827;A.A. de Lannoy-Willemsstraat;1;15;;;1103DJ;T;T94;T94b
57827;A.A. de Lannoy-Willemsstraat;;;2;16;1103DJ;T;T94;T94b
48194;Aaf Bouberstraat;1;37;;;1065LP;F;F89;F89a
48194;Aaf Bouberstraat;41;77;;;1065LR;F;F89;F89a
48194;Aaf Bouberstraat;;;2;38;1065LS;F;F89;F89a
48194;Aaf Bouberstraat;;;40;76;1065LT;F;F89;F89a
48194;Aaf Bouberstraat;;;80;116;1065LV;F;F89;F89a
48194;Aaf Bouberstraat;;;118;154;1065LW;F;F89;F89a
50199;Aagtdorperpad;1;17;;;1024DC;N;N68;N68d
01090;A.A.H. Struijckenkade;1;9;;;1063NX;F;F77;F77c
01090;A.A.H. Struijckenkade;;;2;10;1063NX;F;F77;F77c
64858;Aakhof;1;11;;;1034HD;N;N70;N70a
64858;Aakhof;;;2;12;1034HD;N;N70;N70a
64831;Aakpad;1;53;;;1034HC;N;N70;N70a
64831;Aakpad;;;2;34;1034HC;N;N70;N70a
01120;Aakstraat;161;211;;;1034BN;N;N70;N70a
01120;Aakstraat;;;60;82;1034BP;N;N70;N70a
01139;Aalbersestraat;3A;17A;;;1067GB;F;F78;F78b
01139;Aalbersestraat;35A;55F;;;1067EZ;F;F78;F78b
01139;Aalbersestraat;261;267;;;1067GA;F;F78;F78d
01139;Aalbersestraat;273;381;;;1067MD;F;F78;F78d
01139;Aalbersestraat;;;32A;74B;1067GE;F;F78;F78a
01139;Aalbersestraat;;;76;102;1067GG;F;F78;F78c
01139;Aalbersestraat;;;104;130;1067GH;F;F78;F78c
01139;Aalbersestraat;;;132;158;1067GJ;F;F78;F78c
01139;Aalbersestraat;;;160A;186H;1067GK;F;F78;F78c
01139;Aalbersestraat;;;188;214;1067GL;F;F78;F78c
01139;Aalbersestraat;;;216A;248K;1067GM;F;F78;F78c
01139;Aalbersestraat;;;250;260;1067GN;F;F78;F78d
01139;Aalbersestraat;;;262;276;1067GP;F;F78;F78d
01139;Aalbersestraat;;;278;290;1067GR;F;F78;F78d
01163;Aalsmeerplein;1;1;;;1059AS;K;K44;K44d
01163;Aalsmeerplein;5;7;;;1059AS;K;K44;K44c
01163;Aalsmeerplein;;;2;2;1059AS;K;K44;K44d
01163;Aalsmeerplein;;;6;8;1059AS;K;K44;K44c
01171;Aalsmeerweg;1;23;;;1059AA;K;K44;K44d
01171;Aalsmeerweg;25;43;;;1059AB;K;K44;K44d
01171;Aalsmeerweg;45;55;;;1059AC;K;K44;K44d
01171;Aalsmeerweg;57;75;;;1059AD;K;K44;K44d
01171;Aalsmeerweg;79H;101H;;;1059AE;K;K44;K44d
01171;Aalsmeerweg;103;117;;;1059AG;K;K44;K44d
01171;Aalsmeerweg;119;133;;;1059AH;K;K44;K44d
01171;Aalsmeerweg;;;4;22;1059AJ;K;K44;K44c
01171;Aalsmeerweg;;;24;50;1059AK;K;K44;K44c
01171;Aalsmeerweg;;;52;66;1059AL;K;K44;K44c
01171;Aalsmeerweg;;;68;84;1059AM;K;K44;K44c
01171;Aalsmeerweg;;;86;96;1059AN;K;K44;K44c
01171;Aalsmeerweg;;;98A;110A;1059AP;K;K44;K44c
01171;Aalsmeerweg;;;112;124;1059AR;K;K44;K44c
01198;Aambeeldstraat;3;9;;;1021KB;N;N72;N72a
01198;Aambeeldstraat;;;2;36;1021KB;N;N72;N72a
01198;Aambeeldstraat;;;14;14;;N;N72;N72a
53139;Aandewind;1;11;;;1034KL;N;N70;N70d
53139;Aandewind;;;2;12;1034KL;N;N70;N70d
01201;Aardbeistraat;1;7;;;1033TS;N;N65;N65c
01201;Aardbeistraat;;;2;20;1033TT;N;N65;N65c
62030;Aaron Coplandstraat;7;7;;;1082MA;K;K23;K23d
62030;Aaron Coplandstraat;;;6;10;1082MG;K;K23;K23d
54240;Aarschotpad;;;;;;;;
63606;Aart Kleinhof;1;11;;;1087KL;M;M51;M51c
63606;Aart Kleinhof;;;2;12;1087KL;M;M51;M51c
01228;Aart van der Leeuwstraat;1;29;;;1064BT;F;F77;F77a
01228;Aart van der Leeuwstraat;;;18;32;1064BT;F;F77;F77a
01236;Abbenesstraat;3;15;;;1059TB;K;K44;K44c
01236;Abbenesstraat;17;27;;;1059TC;K;K44;K44c
01236;Abbenesstraat;;;4;16;1059TD;K;K44;K44c
01236;Abbenesstraat;;;18;36;1059TE;K;K44;K44c
41335;Abberdaan;;;2A;114D;1046AA;F;F11;F11d
41335;Abberdaan;;;162;218;1046AB;F;F11;F11d
46663;Abcouderpad;;;;;;;;
01244;Abcouderstraatweg;77;79;;;1105AA;T;T92;T92g
01244;Abcouderstraatweg;;;46A;130B;1105AA;T;T92;T92g
61859;Abe Lenstralaan;;;6;14;1067MV;F;F80;F80a
56332;Abebe Bikilalaan;3;49;;;1034WL;N;N70;N70b
56332;Abebe Bikilalaan;;;4;16;1034WL;N;N70;N70b
61417;Abidjanweg;;;;;;;;
53678;Abraham de Haanstraat;;;4;4;1035TC;N;N67;N67b
53678;Abraham de Haanstraat;;;6;12;1035TD;N;N67;N67b
61603;Abraham Kuyperplein;1;73;;;1067DE;F;F78;F78d
61603;Abraham Kuyperplein;;;2;30;1067DE;F;F78;F78d
63177;Abraham Kuyperstraat;1;15;;;1067DH;F;F78;F78d
63177;Abraham Kuyperstraat;;;2;16;1067DH;F;F78;F78d
01260;Abraham Staalmanplein;1;11;;;1066AG;F;F89;F89c
01260;Abraham Staalmanplein;;;2A;12A;1066AG;F;F89;F89c
01279;Abraham van der Hartstraat;1;31;;;1067XE;F;F78;F78d
01287;Abram Dudok van Heelstraat;3;9;;;1096BE;M;M58;M58i
01295;Abrikozenstraat;35;45;;;1033JW;N;N65;N65c
01295;Abrikozenstraat;47;69;;;1033JX;N;N65;N65c
01295;Abrikozenstraat;;;2;18;1033KA;N;N65;N65c
01295;Abrikozenstraat;;;20;38;1033KB;N;N65;N65c
01295;Abrikozenstraat;;;40;56;1033KC;N;N65;N65c
01295;Abrikozenstraat;;;58;76;1033KD;N;N65;N65c
01295;Abrikozenstraat;;;78;94;1033KE;N;N65;N65c
01295;Abrikozenstraat;;;96;114;1033KG;N;N65;N65c
01295;Abrikozenstraat;;;116;130;1033KH;N;N65;N65c
01295;Abrikozenstraat;;;132;152;1033KJ;N;N65;N65c
60232;Accason;3;3;;;1046CG;F;F11;F11c
60275;Accraweg;1A;37A;;;1047HJ;B;B10;B10g
60275;Accraweg;;;4;4;1047HJ;B;B10;B10g
44768;Accumulatorweg;5;5;;;1014CE;E;E36;E36b
01317;Achillesstraat;13;33;;;1076PT;K;K48;K48b
01317;Achillesstraat;35;53;;;1076PV;K;K48;K48c
01317;Achillesstraat;55;71;;;1076PW;K;K48;K48f
01317;Achillesstraat;73;99;;;1076PX;K;K48;K48f
01317;Achillesstraat;101;107;;;1076PZ;K;K48;K48f
01317;Achillesstraat;109;117;;;1076RA;K;K48;K48f
01317;Achillesstraat;;;10;18;1076RB;K;K48;K48b
